CS101|Introduction to Programming|1|T1100|BSCS25201,BSCS25202,BSCS25203,BSCS25204,BSCS25205,BSCS25206,BSCS25207,BSCS25208,BSCS25209,BSCS25210,BSCS25211,BSCS25212,BSCS25213,BSCS25214,BSCS25215,BSCS25216,BSCS25217,BSCS25218,BSCS25219,BSCS25220,BSCS25221,BSCS25222,BSCS25223,BSCS25224,BSCS25225,BSCS25226,BSCS25227,BSCS25228,BSCS25229,BSCS25230,BSCS25231,BSCS25232,BSCS25233,BSCS25234,BSCS25235,BSCS25236,BSCS25237,BSCS25238,BSCS25239,BSCS25240,BSCS25241,BSCS25242,BSCS25243,BSCS25244,BSCS25245,BSCS25246,BSCS25247,BSCS25248,BSCS25249,BSCS25250|50
CS102|Introduction to Computing|1|T1101|BSCS25201,BSCS25202,BSCS25203,BSCS25204,BSCS25205,BSCS25206,BSCS25207,BSCS25208,BSCS25209,BSCS25210,BSCS25211,BSCS25212,BSCS25213,BSCS25214,BSCS25215,BSCS25216,BSCS25217,BSCS25218,BSCS25219,BSCS25220,BSCS25221,BSCS25222,BSCS25223,BSCS25224,BSCS25225,BSCS25226,BSCS25227,BSCS25228,BSCS25229,BSCS25230,BSCS25231,BSCS25232,BSCS25233,BSCS25234,BSCS25235,BSCS25236,BSCS25237,BSCS25238,BSCS25239,BSCS25240,BSCS25241,BSCS25242,BSCS25243,BSCS25244,BSCS25245,BSCS25246,BSCS25247,BSCS25248,BSCS25249,BSCS25250|50
CS201|Data Structures|2|T1205|BSCS25401,BSCS25402,BSCS25403,BSCS25404,BSCS25405,BSCS25406,BSCS25407,BSCS25408,BSCS25409,BSCS25410,BSCS25411,BSCS25412,BSCS25413,BSCS25414,BSCS25415,BSCS25416,BSCS25417,BSCS25418,BSCS25419,BSCS25420,BSCS25421,BSCS25422,BSCS25423,BSCS25424,BSCS25425,BSCS25426,BSCS25427,BSCS25428,BSCS25429,BSCS25430,BSCS25431,BSCS25432,BSCS25433,BSCS25434,BSCS25435,BSCS25436,BSCS25437,BSCS25438,BSCS25439,BSCS25440,BSCS25441,BSCS25442,BSCS25443,BSCS25444,BSCS25445,BSCS25446,BSCS25447,BSCS25448,BSCS25449,BSCS25450|50
CS202|Object Oriented Programming|2|T1206|BSCS25401,BSCS25402,BSCS25403,BSCS25404,BSCS25405,BSCS25406,BSCS25407,BSCS25408,BSCS25409,BSCS25410,BSCS25411,BSCS25412,BSCS25413,BSCS25414,BSCS25415,BSCS25416,BSCS25417,BSCS25418,BSCS25419,BSCS25420,BSCS25421,BSCS25422,BSCS25423,BSCS25424,BSCS25425,BSCS25426,BSCS25427,BSCS25428,BSCS25429,BSCS25430,BSCS25431,BSCS25432,BSCS25433,BSCS25434,BSCS25435,BSCS25436,BSCS25437,BSCS25438,BSCS25439,BSCS25440,BSCS25441,BSCS25442,BSCS25443,BSCS25444,BSCS25445,BSCS25446,BSCS25447,BSCS25448,BSCS25449,BSCS25450|50
CS301|Algorithms|3|T1300|BSCS24119,BSCS24134,BSCS24001,BSCS24009,BSCS24011,BSCS24017,BSCS24023,BSCS24029,BSCS24031,BSCS24035,BSCS24037,BSCS24041,BSCS24043,BSCS24045,BSCS24049,BSCS24053,BSCS24063,BSCS24071,BSCS24073,BSCS24075,BSCS24077,BSCS24081,BSCS24083,BSCS24087,BSCS24089,BSCS24091,BSCS24093,BSCS24095,BSCS24097,BSCS24101,BSCS24103,BSCS24105,BSCS24112,BSCS24113,BSCS24115,BSCS24117,BSCS24121,BSCS24122,BSCS24131,BSCS24133,BSCS24135,BSCS24137,BSCS24139,BSCS24143,BSCS24145,BSCS24147,BSCS24149,BSCS24151,BSCS24153,BSCS24155|50
CS302|Database Systems|3|T1301|BSCS24119,BSCS24134,BSCS24001,BSCS24009,BSCS24011,BSCS24017,BSCS24023,BSCS24029,BSCS24031,BSCS24035,BSCS24037,BSCS24041,BSCS24043,BSCS24045,BSCS24049,BSCS24053,BSCS24063,BSCS24071,BSCS24073,BSCS24075,BSCS24077,BSCS24081,BSCS24083,BSCS24087,BSCS24089,BSCS24091,BSCS24093,BSCS24095,BSCS24097,BSCS24101,BSCS24103,BSCS24105,BSCS24112,BSCS24113,BSCS24115,BSCS24117,BSCS24121,BSCS24122,BSCS24131,BSCS24133,BSCS24135,BSCS24137,BSCS24139,BSCS24143,BSCS24145,BSCS24147,BSCS24149,BSCS24151,BSCS24153,BSCS24155|50
CS303|Computer Organization|3|T1302|BSCS24134,BSCS24119,BSCS24001,BSCS24009,BSCS24011,BSCS24017,BSCS24023,BSCS24029,BSCS24031,BSCS24035,BSCS24037,BSCS24041,BSCS24043,BSCS24045,BSCS24049,BSCS24053,BSCS24063,BSCS24071,BSCS24073,BSCS24075,BSCS24077,BSCS24081,BSCS24083,BSCS24087,BSCS24089,BSCS24091,BSCS24093,BSCS24095,BSCS24097,BSCS24101,BSCS24103,BSCS24105,BSCS24112,BSCS24113,BSCS24115,BSCS24117,BSCS24121,BSCS24122,BSCS24131,BSCS24133,BSCS24135,BSCS24137,BSCS24139,BSCS24143,BSCS24145,BSCS24147,BSCS24149,BSCS24151,BSCS24153,BSCS24155|50
CS401|Operating Systems|4|T1405|BSCS24201,BSCS24202,BSCS24203,BSCS24204,BSCS24205,BSCS24206,BSCS24207,BSCS24208,BSCS24209,BSCS24210,BSCS24211,BSCS24212,BSCS24213,BSCS24214,BSCS24215,BSCS24216,BSCS24217,BSCS24218,BSCS24219,BSCS24220,BSCS24221,BSCS24222,BSCS24223,BSCS24224,BSCS24225,BSCS24226,BSCS24227,BSCS24228,BSCS24229,BSCS24230,BSCS24231,BSCS24232,BSCS24233,BSCS24234,BSCS24235,BSCS24236,BSCS24237,BSCS24238,BSCS24239,BSCS24240,BSCS24241,BSCS24242,BSCS24243,BSCS24244,BSCS24245,BSCS24246,BSCS24247,BSCS24248,BSCS24249,BSCS24250|50
CS402|Software Engineering|4|T1406|BSCS24201,BSCS24202,BSCS24203,BSCS24204,BSCS24205,BSCS24206,BSCS24207,BSCS24208,BSCS24209,BSCS24210,BSCS24211,BSCS24212,BSCS24213,BSCS24214,BSCS24215,BSCS24216,BSCS24217,BSCS24218,BSCS24219,BSCS24220,BSCS24221,BSCS24222,BSCS24223,BSCS24224,BSCS24225,BSCS24226,BSCS24227,BSCS24228,BSCS24229,BSCS24230,BSCS24231,BSCS24232,BSCS24233,BSCS24234,BSCS24235,BSCS24236,BSCS24237,BSCS24238,BSCS24239,BSCS24240,BSCS24241,BSCS24242,BSCS24243,BSCS24244,BSCS24245,BSCS24246,BSCS24247,BSCS24248,BSCS24249,BSCS24250|50
CS403|Computer Networks|4|T1407|BSCS24201,BSCS24202,BSCS24203,BSCS24204,BSCS24205,BSCS24206,BSCS24207,BSCS24208,BSCS24209,BSCS24210,BSCS24211,BSCS24212,BSCS24213,BSCS24214,BSCS24215,BSCS24216,BSCS24217,BSCS24218,BSCS24219,BSCS24220,BSCS24221,BSCS24222,BSCS24223,BSCS24224,BSCS24225,BSCS24226,BSCS24227,BSCS24228,BSCS24229,BSCS24230,BSCS24231,BSCS24232,BSCS24233,BSCS24234,BSCS24235,BSCS24236,BSCS24237,BSCS24238,BSCS24239,BSCS24240,BSCS24241,BSCS24242,BSCS24243,BSCS24244,BSCS24245,BSCS24246,BSCS24247,BSCS24248,BSCS24249,BSCS24250|50
